Player,Team,Number,Position,Height,Weight,Last Attended,Country,scraped_at,source,page
Precious Achiuwa,SAC,9,F,6-8,243 lbs,Memphis,Nigeria,2026-01-10T14:08:25.375422+00:00,https://www.nba.com/players,1
Steven Adams,HOU,12,C,6-11,265 lbs,Pittsburgh,New Zealand,2026-01-10T14:08:25.381660+00:00,https://www.nba.com/players,1
Bam Adebayo,MIA,13,C-F,6-9,255 lbs,Kentucky,USA,2026-01-10T14:08:25.381660+00:00,https://www.nba.com/players,1
Ochai Agbaji,TOR,30,G,6-5,215 lbs,Kansas,USA,2026-01-10T14:08:25.381660+00:00,https://www.nba.com/players,1
Santi Aldama,MEM,7,F-C,7-0,215 lbs,Loyola-Maryland,Spain,2026-01-10T14:08:25.381660+00:00,https://www.nba.com/players,1
Trey Alexander,NOP,23,G,6-5,185 lbs,Creighton,USA,2026-01-10T14:08:25.381660+00:00,https://www.nba.com/players,1
Nickeil Alexander-Walker,ATL,7,G,6-5,205 lbs,Virginia Tech,Canada,2026-01-10T14:08:25.381660+00:00,https://www.nba.com/players,1
Grayson Allen,PHX,8,G,6-3,198 lbs,Duke,USA,2026-01-10T14:08:25.381660+00:00,https://www.nba.com/players,1
Jarrett Allen,CLE,31,C,6-9,243 lbs,Texas,USA,2026-01-10T14:08:25.381660+00:00,https://www.nba.com/players,1
Jose Alvarado,NOP,15,G,6-0,179 lbs,Georgia Tech,USA,2026-01-10T14:08:25.381660+00:00,https://www.nba.com/players,1
Kyle Anderson,UTA,2,F-G,6-8,230 lbs,UCLA,USA,2026-01-10T14:08:25.381660+00:00,https://www.nba.com/players,1
Alex Antetokounmpo,MIL,29,F,6-8,214 lbs,,Greece,2026-01-10T14:08:25.381660+00:00,https://www.nba.com/players,1
Giannis Antetokounmpo,MIL,34,F,6-11,243 lbs,Filathlitikos,Greece,2026-01-10T14:08:25.381660+00:00,https://www.nba.com/players,1
Thanasis Antetokounmpo,MIL,43,F,6-7,219 lbs,Panathinaikos,Greece,2026-01-10T14:08:25.381660+00:00,https://www.nba.com/players,1
Cole Anthony,MIL,50,G,6-2,185 lbs,North Carolina,USA,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
OG Anunoby,NYK,8,F-G,6-7,240 lbs,Indiana,United Kingdom,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
Deni Avdija,POR,8,F,6-8,228 lbs,Maccabi Tel Aviv,Israel,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
Deandre Ayton,LAL,5,C,7-0,252 lbs,Arizona,Bahamas,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
Marvin Bagley III,WAS,35,F,6-10,235 lbs,Duke,USA,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
Ace Bailey,UTA,19,F,6-9,200 lbs,Rutgers,USA,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
LaMelo Ball,CHA,1,G,6-7,180 lbs,Illawarra,USA,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
Lonzo Ball,CLE,2,G,6-5,190 lbs,UCLA,USA,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
Mo Bamba,,,C,7-0,231 lbs,Texas,USA,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
Paolo Banchero,ORL,5,F,6-10,250 lbs,Duke,USA,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
Desmond Bane,ORL,3,G,6-6,215 lbs,TCU,USA,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
Dominick Barlow,PHI,25,F,6-9,215 lbs,Overtime Elite,USA,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
Harrison Barnes,SAS,40,F,6-7,225 lbs,North Carolina,USA,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
Scottie Barnes,TOR,4,F-G,6-8,237 lbs,Florida State,USA,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
Brooks Barnhizer,OKC,23,G,6-5,230 lbs,Northwestern,USA,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
RJ Barrett,TOR,9,F-G,6-6,214 lbs,Duke,Canada,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
Charles Bassey,,,C-F,6-10,230 lbs,Western Kentucky,Nigeria,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
Tamar Bates,DEN,7,G,6-4,195 lbs,Missouri,USA,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
Jamison Battle,TOR,77,F,6-7,220 lbs,Ohio State,USA,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
Nicolas Batum,LAC,33,G-F,6-7,230 lbs,Le Mans,France,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
Bradley Beal,LAC,0,G,6-4,207 lbs,Florida,USA,2026-01-10T14:08:25.384184+00:00,https://www.nba.com/players,1
